time,hex,callsign,latitude,longitude,no_position,altitude,squawk,ground speed,track,vertical speed
2020-01-26 17:43:38Z.128,0xa9a1ad,N72EX,34.15808,-118.6417,P,1225,1200,137,242,-64
2020-01-26 17:43:38Z.416,0xa9a1ad,N72EX,34.15836,-118.64101,P,1225,1200,138,242,0
2020-01-26 17:43:39Z.764,0xa9a1ad,N72EX,34.15761,-118.64279,P,1225,1200,136,242,-128
2020-01-26 17:43:40Z.144,0xa9a1ad,N72EX,34.15747,-118.64302,P,1225,1200,136,242,-128
2020-01-26 17:43:41Z.216,0xa9a1ad,N72EX,34.15714,-118.64377,P,1225,1200,136,242,-64
2020-01-26 17:43:41Z.824,0xa9a1ad,N72EX,34.15701,-118.6441,P,1225,1200,136,242,-128
2020-01-26 17:43:43Z.392,0xa9a1ad,N72EX,34.15686,-118.64444,P,1225,1200,136,242,-128
2020-01-26 17:43:43Z.452,0xa9a1ad,N72EX,34.15649,-118.64528,P,1225,1200,136,241,-64
2020-01-26 17:43:43Z.888,0xa9a1ad,N72EX,34.15636,-118.64556,P,1225,1200,136,242,-128
2020-01-26 17:43:43Z.904,0xa9a1ad,N72EX,34.15636,-118.64556,P,1225,1200,136,241,0
2020-01-26 17:43:44Z.876,0xa9a1ad,N72EX,34.15636,-118.64556,P,1225,1200,136,241,-64
2020-01-26 17:43:45Z.076,0xa9a1ad,N72EX,34.15636,-118.64556,P,1225,0,136,242,-64
2020-01-26 17:43:45Z.142,0xa9a1ad,N72EX,34.15603,-118.64628,P,1225,1200,136,241,0
2020-01-26 17:43:45Z.540,0xa9a1ad,N72EX,34.15603,-118.64628,P,1225,1200,136,241,0
2020-01-26 17:43:46Z.150,0xa9a1ad,N72EX,34.15565,-118.64708,P,1225,1200,136,240,64
2020-01-26 17:43:46Z.242,0xa9a1ad,N72EX,34.15565,-118.64708,P,1225,1200,136,240,64
2020-01-26 17:43:47Z.640,0xa9a1ad,N72EX,34.15524,-118.64799,P,1225,0,136,240,0
2020-01-26 17:43:47Z.732,0xa9a1ad,N72EX,34.15524,-118.64799,P,1225,1200,136,240,64
2020-01-26 17:43:48Z.576,0xa9a1ad,N72EX,34.15524,-118.64799,P,1225,1200,136,240,64
2020-01-26 17:43:48Z.630,0xa9a1ad,N72EX,34.15508,-118.64831,P,1225,1200,136,242,-128
2020-01-26 17:43:49Z.066,0xa9a1ad,N72EX,34.15475,-118.64898,P,1225,1200,134,241,64
2020-01-26 17:43:49Z.918,0xa9a1ad,N72EX,34.15449,-118.6496,P,1225,1200,134,241,0
2020-01-26 17:43:50Z.538,0xa9a1ad,N72EX,34.15434,-118.64993,P,1225,1200,135,241,0
2020-01-26 17:43:51Z.060,0xa9a1ad,N72EX,34.15434,-118.64993,P,1225,1200,134,241,0
2020-01-26 17:43:52Z.038,0xa9a1ad,N72EX,34.15388,-118.651,P,1225,1200,134,242,-64
2020-01-26 17:43:53Z.464,0xa9a1ad,N72EX,34.15379,-118.65122,P,1225,1200,136,242,-128
2020-01-26 17:43:53Z.668,0xa9a1ad,N72EX,34.15379,-118.65122,P,1225,1200,135,242,-128
2020-01-26 17:43:54Z.050,0xa9a1ad,N72EX,34.15347,-118.652,P,1225,1200,135,243,-192
2020-01-26 17:43:55Z.532,0xa9a1ad,N72EX,34.1531,-118.65292,P,1225,0,136,240,0
2020-01-26 17:43:56Z.034,0xa9a1ad,N72EX,34.15297,-118.6533,P,1225,1200,135,244,-128
2020-01-26 17:43:56Z.072,0xa9a1ad,N72EX,34.15297,-118.6533,P,1225,1200,134,244,-64
2020-01-26 17:43:56Z.506,0xa9a1ad,N72EX,34.15297,-118.6533,P,1225,1200,134,244,-64
2020-01-26 17:43:57Z.674,0xa9a1ad,N72EX,34.15268,-118.65401,P,1225,1200,134,245,128
2020-01-26 17:43:58Z.210,0xa9a1ad,N72EX,34.15231,-118.65509,P,1225,1200,133,247,320
2020-01-26 17:43:58Z.850,0xa9a1ad,N72EX,34.15231,-118.65509,P,1225,1200,133,247,320
